,tweet_id,det_fake_label
0,1570480204640030720,0
1,1656084643483906051,1
2,1646249274467057666,1
3,1649086122184564738,0
4,1648948327180910593,1
5,1574168230213689348,0
6,1560638969481773057,0
7,1616099854064963586,0
8,1507024450600017932,1
9,1655998362695475212,0
10,1656086087536635905,1
11,1656086219212636160,1
12,1656083855734964226,0
13,1654488033637421059,1
14,1575672192490438656,1
15,1656022621836779523,1
16,1656081714970591232,0
17,1656010238338768905,1
18,1656027547824431113,1
19,1636050261083930625,0
20,1656079532758118401,0
21,1537811290143350784,0
22,1646144308934848512,1
23,1656085450996547585,1
24,1655350364038676480,0
25,1656082324835168256,0
26,1620548063453380608,0
27,1651870456524275717,1
28,1616669944359391233,0
29,1656086094855786496,0
30,1656085231093583873,0
31,1656082963824623617,0
32,1656079534641369088,0
33,1656070596004831232,1
34,1615422817457082375,0
35,1656024816212746253,1
36,1656086220663824387,1
37,1656063046811369472,1
38,1656067616249884673,1
39,1593221195104915456,0
40,1656069883681972225,1
41,1622958967730106369,0
42,1655711209566478341,0
43,1656083222361415680,0
44,1652898409572089856,1
45,1656082580058374153,0
46,1493437522634231809,0
47,1575562506843484160,1
48,1565065158300516355,0
49,1656023586346344458,1
50,1656061230056914944,1
51,1629266941117452288,0
52,1633530169096040448,0
53,1656086300116807681,0
54,1643599877518024704,0
55,1656083420613582848,0
56,1656085867130236929,1
57,1640609939973455872,0
58,1485887161429811201,0
59,1593707620409425920,1
60,1569136029894066177,1
61,1613626946981867520,1
62,1656035469048659969,1
63,1656074125096677376,1
64,1563126313791066113,1
65,1656019113330843679,0
66,1522314361729130498,0
67,1592173204218339329,0
68,1485018767344259077,0
69,1650761032212836352,0
70,1654636119785623553,0
71,1656071427164913670,1
72,1656021749471879190,1
73,1656010235742494720,1
74,1656015763503816755,1
75,1656041398292889628,1
76,1608520737681477633,0
77,1656058870949638144,1
78,1602710448146710531,0
79,1656077500462637058,1
80,1656086534213214209,1
81,1656023952748159055,1
82,1656085799396311044,0
83,1628093104199806976,0
84,1656079043526008834,1
85,1618588312452595713,0
86,1656084931007660032,0
87,1583932423951175680,0
88,1595528192797859852,0
89,1614291875959021573,0
90,1656070443164483584,1
91,1575437368643178496,0
92,1656085877884432388,0
93,1656085634308530176,1
94,1618463586548076545,0
95,1656081179194593282,0
96,1656075952693325824,1
97,1656076100068335616,1
98,1492561568755634178,0
99,1656085280926097408,0
100,1656083746737537025,0
101,1656075772124348416,1
102,1656035210469752838,1
103,1656048664870002689,1
104,1611450781504258053,0
105,1612922579320283136,0
106,1593225927596855297,0
107,1656068373610987520,1
108,1656027012618649600,1
109,1656082775722655746,1
110,1554653400561844225,0
111,1655628967527821350,0
112,1656082458616422402,1
113,1597004890655662081,0
114,1656082606054600705,0
115,1488599196982722562,0
116,1656015581181616142,1
117,1656080535335104513,0
118,1656084976230711303,0
119,1656082010925043712,0
120,1654470164530991104,1
121,1615580349806903296,0
122,1656085602692136962,1
123,1656030094559772674,1
124,1656085143604326400,0
125,1656086372652838913,0
126,1656085688305975296,1
127,1656043804594454547,1
128,1656084955078836224,1
129,1578812070413635584,1
130,1568767080794656770,1
131,1634253144782675988,0
132,1656079542488891393,0
133,1525699133050236928,0
134,1510384813148188682,1
135,1628955406184726529,0
136,1542478831386238976,0
137,1650584570964889602,0
138,1655606931845783553,0
139,1650660664543793153,0
140,1656086270836342785,1
141,1587992096598032384,1
142,1656086450654289920,1
143,1656058240277307394,1
144,1602514403911667713,0
145,1656085231353614337,1
146,1656079823951757315,0
147,1653492572281622530,0
148,1544573836162568192,0
149,1656053929484976130,1
150,1540045856291930112,0
151,1656085825044504577,1
152,1629565143624417282,0
153,1651283885282545667,1
